material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-1197086,AlP2H18(C2Cl)3,4.8347,0.0087,120,1686.4216,0.071157,9.5163,35.45,1.008,12.3611,2.3457,0.3272,5,
mp-1229117,AlP2H4O8F,5.7046,0.0062,64,663.5053,0.096457,14.997,30.9738,1.008,9.5556,2.8931,0.7129,5,
mp-1247815,AlP2H4O8F,5.4863,0.0171,64,651.0659,0.0983,14.997,30.9738,1.008,9.5556,2.8931,0.7129,5,
mp-721876,AlP2H5O9,5.5286,0.0182,68,652.1416,0.104272,13.9977,30.9738,1.008,9.7759,2.8206,0.6704,4,
mp-28046,AlP2I9,1.6553,0.0,96,4669.5469,0.020559,102.5891,126.9045,26.9815,42.126,2.4942,0.3181,3,
mp-556596,AlP3(HO2)6,5.4786,0.0138,44,474.7496,0.09268,14.4518,30.9738,1.008,9.7446,2.8482,0.6591,4,
mp-722269,AlP3(HO5)2,5.7405,0.0083,64,729.2169,0.087765,17.6193,30.9738,1.008,8.6631,2.9363,0.6639,4,
mp-683949,AlP3(NCl3)3,3.6551,0.009,64,1635.1313,0.039141,30.0609,35.45,14.007,8.0876,2.8587,0.4884,4,
mp-1203322,AlP3H10O11,6.049,0.0384,100,1082.628,0.092368,12.2389,30.9738,1.008,10.3676,2.7208,0.6475,4,
mp-1228904,AlPH8(CCl)3,1.9662,0.1252,32,544.5021,0.058769,13.0251,35.45,1.008,14.1066,2.4081,0.4174,5,
mp-569751,AlPH8(CCl2)2,5.4006,0.0,128,2221.7028,0.057613,14.4901,35.45,1.008,15.1068,2.4462,0.4548,5,
mp-1196119,AlPH9(CCl)3,5.636,0.0,34,542.9827,0.062617,12.3183,35.45,1.008,13.9745,2.3959,0.4079,5,
mp-568423,AlPI8,1.4268,0.0,40,1931.8607,0.020705,107.3191,126.9045,26.9815,39.1809,2.508,0.3305,3,
mp-567975,AlPNCl5,3.8585,0.0181,16,471.7189,0.033919,31.1515,35.45,14.007,7.104,2.83,0.5575,4,
mp-3955,AlPO4,5.6177,0.0001,18,232.3837,0.077458,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-4051,AlPO4,5.4799,0.0077,12,173.4598,0.06918,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-5331,AlPO4,5.6178,0.0,18,231.7452,0.077672,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-5440,AlPO4,5.612,0.0187,144,2532.9335,0.056851,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-5724,AlPO4,5.4878,0.0075,12,183.1739,0.065512,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-5859,AlPO4,5.508,0.0177,72,1500.0764,0.047998,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-7848,AlPO4,5.6696,0.0067,6,92.9927,0.064521,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-13024,AlPO4,4.97,0.1133,12,120.2179,0.099819,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-37990,AlPO4,5.4591,0.0228,30,647.2802,0.046348,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-541338,AlPO4,5.674,0.0187,72,1679.274,0.042876,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-545974,AlPO4,5.3246,0.0185,12,208.8203,0.057466,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-554185,AlPO4,5.6724,0.021,96,2236.4912,0.042924,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-554273,AlPO4,5.4837,0.0194,96,1699.1524,0.056499,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-555941,AlPO4,5.6712,0.021,36,816.6844,0.044081,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-557362,AlPO4,5.5478,0.0167,144,2946.4176,0.048873,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-557604,AlPO4,5.667,0.0142,36,628.1358,0.057312,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-557757,AlPO4,5.6583,0.0222,72,1489.0141,0.048354,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-557842,AlPO4,5.4534,0.0181,60,1157.4766,0.051837,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-557915,AlPO4,5.4597,0.0138,36,576.1036,0.062489,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-558056,AlPO4,5.4806,0.0174,60,1124.4866,0.053358,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-558088,AlPO4,5.6341,0.0321,108,2593.4234,0.041644,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-559145,AlPO4,5.662,0.0196,144,3362.8137,0.042821,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-560151,AlPO4,5.4854,0.011,18,254.8372,0.070633,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-560815,AlPO4,5.4988,0.0365,108,2691.9157,0.04012,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-561027,AlPO4,5.5343,0.0187,96,1849.7257,0.0519,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-603719,AlPO4,2.9478,0.3675,6,49.6682,0.120802,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-667310,AlPO4,5.4284,0.0288,108,2145.2026,0.050345,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-667363,AlPO4,5.5568,0.0209,144,2950.6276,0.048803,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-675254,AlPO4,5.353,0.0183,36,646.9014,0.05565,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-675771,AlPO4,1.1049,0.3361,72,1477.5564,0.048729,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-683883,AlPO4,5.7938,0.0245,192,3848.1469,0.049894,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-685291,AlPO4,1.5066,0.2862,72,1471.328,0.048935,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-686615,AlPO4,0.0661,0.4504,108,2834.0959,0.038107,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-707977,AlPO4,5.5406,0.0186,36,734.3212,0.049025,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1019510,AlPO4,5.4926,0.0172,96,1838.5227,0.052216,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1019511,AlPO4,5.5569,0.0318,48,891.9892,0.053812,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1019512,AlPO4,5.2949,0.0918,72,755.477,0.095304,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1019513,AlPO4,5.6414,0.0022,36,460.145,0.078236,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1019514,AlPO4,5.4779,0.09,36,379.1878,0.09494,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1199762,AlPO4,5.6196,0.0372,216,5168.5603,0.041791,20.3252,30.9738,15.999,6.2258,2.9267,0.745,3,
mp-1193321,AlPO5,0.0657,0.307,28,384.687,0.072786,19.7072,30.9738,15.999,5.9594,3.0,0.7128,3,
mp-1214957,AlPO6,0.2155,0.4991,64,805.294,0.079474,19.2437,30.9738,15.999,5.7079,3.055,0.6824,3,
mp-27462,AlPS4,2.5866,0.0138,12,326.3462,0.036771,31.0326,32.06,26.9815,1.8546,2.3533,0.3616,3,
mp-1071955,AlPS4,2.7716,0.0051,6,155.8233,0.038505,31.0326,32.06,26.9815,1.8546,2.3533,0.3616,3,
mp-1102285,AlPS4,2.8338,0.0,12,303.3231,0.039562,31.0326,32.06,26.9815,1.8546,2.3533,0.3616,3,
mp-727215,AlPb3OF9,1.6022,0.0281,56,889.6994,0.062943,59.6833,207.2,15.999,77.0707,3.4186,0.8308,4,
mp-1203200,AlPb3OF9,0.1367,0.1539,56,820.1455,0.068281,59.6833,207.2,15.999,77.0707,3.4186,0.8308,4,
mp-1214948,AlPbF5,5.2623,0.0031,56,761.8256,0.073508,47.0248,207.2,18.9984,65.4492,3.4057,0.9282,3,
mp-1228817,AlReGe,0.1187,0.0,3,42.6697,0.070308,95.2728,186.207,26.9815,66.9463,1.84,0.1687,3,
mp-1228809,AlReSi,0.2838,0.0,3,40.4136,0.074233,80.4245,186.207,26.9815,74.8009,1.8033,0.1367,3,
mp-1178547,AlRhO3,1.7659,0.0388,10,98.895,0.101117,35.5768,102.9055,15.999,33.932,2.842,0.7624,3,
mp-557272,AlS2(NCl2)2,1.0462,0.1999,36,926.936,0.038838,28.9906,35.45,14.007,8.4248,2.8322,0.4873,4,
mp-559963,AlS2NCl4,2.1062,0.0855,32,952.496,0.033596,30.8636,35.45,14.007,6.9482,2.8063,0.511,4,
mp-559940,AlS2NCl6,1.6801,0.049,40,1178.8827,0.03393,31.7809,35.45,14.007,6.4798,2.877,0.4784,4,
mp-558270,AlS5N5Cl4,2.2857,0.2922,120,3050.6115,0.039336,26.6078,35.45,14.007,9.1484,2.8233,0.4047,4,
mp-1079481,AlSBr3,0.1479,0.3612,10,379.9353,0.02632,59.7507,79.904,26.9815,24.7348,2.614,0.5231,3,
mp-558847,AlSBr3N,1.8744,0.336,24,773.8213,0.031015,52.1268,79.904,14.007,28.2925,2.685,0.5032,4,
mp-556418,AlSCl3O2,3.978,0.2593,14,363.3326,0.038532,28.1985,35.45,15.999,8.2098,2.9357,0.6028,4,
mp-555805,AlSCl7,2.4961,0.0,18,524.0642,0.034347,34.1324,35.45,26.9815,2.7403,2.9233,0.4983,3,
mp-1214856,AlSNCl3,2.4413,0.1459,24,642.7281,0.037341,29.8998,35.45,14.007,7.7263,2.785,0.5641,4,
mp-1182973,AlSO10,0.4517,0.4318,48,802.0688,0.059845,18.2526,32.06,15.999,5.1448,3.2158,0.5389,3,
mp-1183023,AlSO10,0.2066,0.3395,48,713.3788,0.067285,18.2526,32.06,15.999,5.1448,3.2158,0.5389,3,
mp-2624,AlSb,1.2262,0.0,2,59.1518,0.033811,74.3708,121.76,26.9815,47.3892,1.83,0.22,2,
mp-15621,AlSb,0.0221,0.117,16,441.1687,0.036267,74.3708,121.76,26.9815,47.3892,1.83,0.22,2,
mp-1018100,AlSb,0.9121,0.0089,4,118.2305,0.033832,74.3708,121.76,26.9815,47.3892,1.83,0.22,2,
mp-1041643,AlSb(WO4)2,1.6134,0.1691,12,143.8715,0.083408,53.7011,183.84,15.999,64.9293,2.9917,0.6584,4,
mp-1041645,AlSb(WO4)2,1.5773,0.1891,24,272.914,0.08794,53.7011,183.84,15.999,64.9293,2.9917,0.6584,4,
mp-1194909,AlSb2(SeCl2)2,1.1223,0.0737,36,1147.4532,0.031374,63.3604,121.76,26.9815,36.1291,2.6056,0.5622,4,
mp-567743,AlSb2(TeCl2)2,0.7509,0.0769,72,2450.0096,0.029388,74.1668,127.6,26.9815,45.2927,2.5056,0.6018,4,
mp-1204489,AlSb2Te2BrCl4,0.5732,0.1267,40,1238.8675,0.032288,74.7406,127.6,26.9815,43.0029,2.551,0.5869,5,
mp-1228843,AlSb3Pb4O13,1.3491,0.0046,21,293.4081,0.071573,68.0499,207.2,15.999,76.536,2.9429,0.6504,4,
mp-1192837,AlSb5Se5Cl4,1.3956,0.139,30,996.6972,0.030099,78.1624,121.76,26.9815,35.9851,2.4833,0.4868,4,
mp-28118,AlSbI6,2.2607,0.0026,16,740.6763,0.021602,113.771,126.9045,26.9815,32.8465,2.4525,0.3759,3,
mp-1183134,AlSbO3,1.1346,0.3196,5,52.9016,0.094515,39.3477,121.76,15.999,41.4251,2.796,0.8009,3,
mp-1261047,AlSbO3,3.9107,0.0619,20,324.7625,0.061583,39.3477,121.76,15.999,41.4251,2.796,0.8009,3,
mp-1371447,AlSbO3,0.3161,0.3399,20,259.2869,0.077135,39.3477,121.76,15.999,41.4251,2.796,0.8009,3,
mp-1374707,AlSbO3,1.2462,0.4061,30,366.0001,0.081967,39.3477,121.76,15.999,41.4251,2.796,0.8009,3,
mp-676861,AlSbO4,1.6178,0.0,6,61.0138,0.098338,35.4563,121.76,15.999,38.804,2.9033,0.7695,3,
mp-567060,AlSeBr3N,1.8741,0.3737,24,794.6024,0.030204,59.9453,79.904,14.007,28.1483,2.68,0.5044,4,
mp-29408,AlSeBr7,2.1924,0.0,18,645.2998,0.027894,73.9201,79.904,26.9815,16.5978,2.7644,0.4277,3,
mp-649130,AlSeCl7,0.0541,0.1415,18,581.8554,0.030936,39.3447,78.971,26.9815,14.2567,2.92,0.5007,3,
mp-1205403,AlSeCl7,3.1841,0.0,18,512.45,0.035125,39.3447,78.971,26.9815,14.2567,2.92,0.5007,3,
mp-556831,AlSeS2N2Cl5,2.2474,0.2394,44,1244.1043,0.035367,34.1215,78.971,14.007,16.206,2.8364,0.4596,5,
mp-1228941,AlSi3AgO8,3.0442,0.0245,26,350.7704,0.074123,26.6997,107.8682,15.999,24.0356,2.8277,0.7781,4,
mp-1228164,AlSiAgO4,2.5493,0.0343,42,785.1797,0.053491,32.4187,107.8682,15.999,31.2122,2.7429,0.8105,4,
mp-1227998,AlSiCN,3.4136,0.0369,4,42.3357,0.094483,20.2711,28.085,12.011,7.3068,2.275,0.5576,4,
mp-1202994,AlSiH11C3O,4.9837,0.081,68,854.8186,0.079549,6.9521,28.085,1.008,9.0588,2.2824,0.362,5,
mp-24308,AlSiH9C3Cl2O,5.403,0.0701,68,1011.909,0.0672,11.0041,35.45,1.008,12.5312,2.3953,0.4562,6,
mp-643829,AlSiHO4,5.5719,0.0903,28,222.0738,0.126084,17.1529,28.085,1.008,8.2989,2.7814,0.7766,4,
mp-5168,AlSiP3,0.2886,0.0072,20,358.9945,0.055711,29.5976,30.9738,26.9815,1.7212,2.016,0.232,3,
mp-1197294,AlSiPH9C3NCl6,3.6074,0.1335,176,3279.734,0.053663,16.266,35.45,1.008,14.8227,2.5068,0.4753,7,
mp-31220,AlSiTe3,1.2309,0.0,10,304.8783,0.0328,87.5733,127.6,26.9815,49.0237,1.962,0.1923,3,
mp-1041835,AlSn(WO4)2,1.1757,0.199,12,150.2581,0.079863,53.447,183.84,15.999,64.6679,2.9842,0.6695,4,
mp-1042285,AlSn(WO4)2,0.1697,0.0929,24,273.9764,0.087599,53.447,183.84,15.999,64.6679,2.9842,0.6695,4,
mp-567609,AlSn2P(H3C)8,3.3878,0.1222,72,878.4427,0.081963,11.546,118.71,1.008,27.0035,2.2478,0.1945,5,
mp-1047454,AlSn3F15,2.7011,0.1408,38,573.9296,0.06621,35.1625,118.71,18.9984,36.2206,3.5363,0.862,3,
mp-1048499,AlSn3Se2ClO8,2.5163,0.2985,30,649.6881,0.046176,46.9664,118.71,15.999,41.3875,2.8847,0.681,5,
mp-1250779,AlSn3Se2ClO8,2.614,0.2903,30,672.6855,0.044597,46.9664,118.71,15.999,41.3875,2.8847,0.681,5,
mp-1253073,AlSnF5,3.7554,0.0456,7,107.1076,0.065355,34.3834,118.71,18.9984,34.5362,3.3529,0.996,3,
mp-2712928,AlSnP(SO6)2,3.1267,0.0292,102,1394.5472,0.073142,25.4573,118.71,15.999,24.1192,3.0706,0.6069,5,
mp-1199681,AlSnPH18(C3Cl2)2,5.2635,0.0371,124,1972.0981,0.062877,13.1831,118.71,1.008,22.9322,2.3645,0.3587,6,
mp-1041771,AlTe(WO4)2,0.1237,0.196,12,189.9938,0.06316,54.1878,183.84,15.999,65.4574,2.9958,0.6526,4,
mp-1041870,AlTe(WO4)2,0.3344,0.1895,24,283.5784,0.084633,54.1878,183.84,15.999,65.4574,2.9958,0.6526,4,
mp-571179,AlTeCl7,3.1496,0.0012,36,1095.2597,0.032869,44.7479,127.6,26.9815,29.4114,2.87,0.5547,3,
mp-573751,AlTeCl7,3.2791,0.0,36,1129.0237,0.031886,44.7479,127.6,26.9815,29.4114,2.87,0.5547,3,
mp-1205099,AlTeH6C2Br3,3.717,0.0593,52,1116.8391,0.04656,32.6433,127.6,1.008,41.7001,2.3762,0.3856,5,
mp-1196941,AlTeH6C2Cl3,3.9733,0.0652,52,1029.1233,0.050528,22.3847,127.6,1.008,33.467,2.4223,0.4579,5,
mp-29407,AlTeI7,1.8846,0.0,18,874.5762,0.020581,115.8792,127.6,26.9815,31.4308,2.4811,0.354,3,
mp-18733,AlTl(MoO4)2,3.8699,0.0,12,210.9031,0.056898,45.9378,204.38,15.999,56.0032,2.9225,0.7486,4,
mp-1214834,AlTl(SO4)2,4.9822,0.0059,12,178.6922,0.067155,35.2895,204.38,15.999,51.3635,2.9925,0.6915,4,
mp-1214828,AlTl(SeO4)2,3.2568,0.0368,12,200.2396,0.059928,43.108,204.38,15.999,53.7899,2.9875,0.6945,4,
mp-27758,AlTl2F5,4.071,0.0003,16,288.7283,0.055415,66.3417,204.38,18.9984,79.7381,3.0938,1.1441,3,
mp-504676,AlTl2F5,4.2238,0.0045,16,309.7897,0.051648,66.3417,204.38,18.9984,79.7381,3.0938,1.1441,3,
mp-1183276,AlTl2F5,4.0543,0.0005,16,287.164,0.055717,66.3417,204.38,18.9984,79.7381,3.0938,1.1441,3,
mp-1539038,AlTl2F5,4.4468,0.0,16,288.2157,0.055514,66.3417,204.38,18.9984,79.7381,3.0938,1.1441,3,
mp-567878,AlTlBr4,4.0998,0.0,24,852.0123,0.028169,91.8296,204.38,26.9815,53.9162,2.5117,0.634,3,
mp-567716,AlTlCl4,4.7337,0.0,24,707.076,0.033943,62.1936,204.38,26.9815,63.6628,2.645,0.7283,3,
mp-3751,AlTlF4,4.4333,0.0,12,162.3053,0.073935,51.2259,204.38,18.9984,68.5546,3.1917,1.1149,3,
mp-5606,AlTlF4,4.25,0.0065,6,83.3641,0.071973,51.2259,204.38,18.9984,68.5546,3.1917,1.1149,3,
mp-557233,AlTlF4,4.2399,0.0033,12,163.7246,0.073294,51.2259,204.38,18.9984,68.5546,3.1917,1.1149,3,
mp-607829,AlTlI4,3.4464,0.0,24,1067.6122,0.02248,123.1632,204.38,26.9815,51.4831,2.3117,0.4926,3,
mp-14105,AlTlO2,2.197,0.0284,8,132.1451,0.06054,65.8399,204.38,15.999,80.1117,2.5275,0.9125,3,
mp-768539,AlTlO3,0.7377,0.0753,20,214.2828,0.093335,55.8717,204.38,15.999,74.3759,2.71,0.8941,3,
mp-985477,AlTlS2,2.4431,0.0,32,800.509,0.039975,73.8704,204.38,26.9815,75.3783,2.0975,0.4825,3,
mp-9579,AlTlSe2,0.5837,0.0091,8,212.6984,0.037612,97.3259,204.38,26.9815,65.3504,2.0825,0.4675,3,
mp-863762,AlTlSe2,1.653,0.0,32,908.243,0.035233,97.3259,204.38,26.9815,65.3504,2.0825,0.4675,3,
mp-1228177,AlTlSi3O8,4.5863,0.0,26,388.0738,0.066998,34.1237,204.38,15.999,49.4397,2.8038,0.8093,4,
mp-669421,AlTlSiO4,2.7897,0.381,28,375.2784,0.074611,46.2061,204.38,15.999,64.7708,2.6986,0.8606,4,
mp-1183017,AlTlSiO4,3.0053,0.494,28,510.4935,0.054849,46.2061,204.38,15.999,64.7708,2.6986,0.8606,4,
mp-1192378,AlTlSiO4,3.4947,0.0007,28,438.258,0.063889,46.2061,204.38,15.999,64.7708,2.6986,0.8606,4,
mp-1228209,AlTlSiO4,4.0811,0.0,42,746.425,0.056268,46.2061,204.38,15.999,64.7708,2.6986,0.8606,4,
mp-aaaiejay,AlV(PbO3)2,0.9486,0.1258,10,112.6046,0.088806,58.8317,207.2,15.999,74.9072,2.854,0.752,4,
mp-1194859,AlV(TeO4)2,2.8361,0.0086,48,659.6117,0.07277,38.4263,127.6,15.999,41.0441,2.9133,0.7576,4,
mp-1042105,AlV(WO4)2,1.7234,0.0217,24,262.4279,0.091454,47.7996,183.84,15.999,61.6086,2.9567,0.7162,4,
mp-1045538,AlV2O4,1.0993,0.2073,14,148.8328,0.094065,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1252214,AlV2O4,0.2614,0.4926,14,150.3144,0.093138,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1272257,AlV2O4,0.0364,0.0303,28,297.1141,0.09424,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1272295,AlV2O4,0.1003,0.0381,28,298.7318,0.09373,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1274278,AlV2O4,0.5729,0.0087,28,296.1191,0.094557,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1276673,AlV2O4,0.3234,0.0344,28,298.4518,0.093817,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1280023,AlV2O4,0.3682,0.0362,28,298.2812,0.093871,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1281387,AlV2O4,0.2716,0.0,14,147.6421,0.094824,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1282714,AlV2O4,0.6318,0.0081,28,295.2834,0.094824,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1291152,AlV2O4,0.4108,0.0355,28,298.0076,0.093957,27.5515,50.9415,15.999,15.2519,2.6614,0.899,3,
mp-1045019,AlV3O6,0.4703,0.0815,40,450.1781,0.088854,27.58,50.9415,15.999,15.628,2.714,0.8892,3,
mp-1045114,AlV3Se2ClO8,1.2699,0.4318,30,514.625,0.058295,33.4127,78.971,15.999,22.4266,2.8187,0.7767,5,
mp-1264182,AlV4(CuO4)3,0.3937,0.2038,20,208.2549,0.096036,30.6687,63.546,15.999,19.3426,2.7555,0.8425,4,
mp-1248567,AlVF5,3.1768,0.0224,7,87.979,0.079564,24.7022,50.9415,18.9984,11.0606,3.3057,1.0662,3,
mp-20014,AlVMoO7,2.3303,0.0,40,586.8476,0.068161,28.5866,95.95,15.999,24.7977,2.948,0.7644,4,
mp-756082,AlVO3,2.1442,0.0864,20,184.7395,0.108261,25.184,50.9415,15.999,13.563,2.712,0.8916,3,
mp-765647,AlVO3,1.1677,0.0887,40,430.7649,0.092858,25.184,50.9415,15.999,13.563,2.712,0.8916,3,
mp-1178549,AlVO3,1.569,0.0198,20,186.1128,0.107462,25.184,50.9415,15.999,13.563,2.712,0.8916,3,
mp-1248251,AlVO3,1.6792,0.1516,20,200.0814,0.099959,25.184,50.9415,15.999,13.563,2.712,0.8916,3,
mp-18827,AlVO4,3.0572,0.0,36,425.5564,0.084595,23.6532,50.9415,15.999,12.8457,2.8333,0.858,3,
mp-735184,AlVP2C2N2O9,2.3079,0.2993,68,1002.134,0.067855,19.7587,50.9415,12.011,9.6696,2.9271,0.6499,6,
mp-735041,AlVP2CNO9,0.5916,0.4083,30,481.2012,0.062344,20.6586,50.9415,12.011,9.9474,2.9447,0.6842,6,
mp-1041957,AlW3O8,1.9245,0.1778,12,155.479,0.077181,58.8745,183.84,15.999,72.2108,3.0175,0.6262,3,
mp-1042107,AlW3O8,1.4907,0.0574,24,274.2546,0.08751,58.8745,183.84,15.999,72.2108,3.0175,0.6262,3,
mp-1045980,AlW3Se2ClO8,1.4888,0.4585,30,635.4576,0.04721,59.9924,183.84,15.999,65.274,2.9647,0.5843,5,
mp-1262038,AlWF5,0.5218,0.3574,7,98.6985,0.070923,43.6877,183.84,18.9984,57.2832,3.41,0.9233,3,
mp-1246403,AlWN3,1.5971,0.3206,20,337.3771,0.059281,50.5685,183.84,14.007,66.8249,2.618,0.5687,3,
mp-1046804,AlWO3,0.8599,0.2859,20,251.2622,0.079598,51.7637,183.84,15.999,66.175,2.858,0.7512,3,
mp-19413,AlWO4,2.2527,0.0507,12,124.4024,0.096461,45.8029,183.84,15.999,61.8622,2.955,0.7193,3,
mp-1182867,AlWO4,2.9803,0.0,6,59.4665,0.100897,45.8029,183.84,15.999,61.8622,2.955,0.7193,3,
mp-1214888,AlZn2Sb(HO)12,2.4931,0.0189,28,255.1593,0.109735,17.2709,121.76,1.008,25.9357,2.6657,0.6906,5,
mp-1195007,AlZnB5H16C4(N2O5)2,4.4996,0.0608,328,3168.4661,0.10352,10.4049,65.38,1.008,11.1376,2.5712,0.5805,7,
mp-1195233,AlZnB5H20C5(NO2)5,4.5107,0.0687,94,877.3317,0.107143,9.716,65.38,1.008,10.7509,2.5491,0.5567,7,
mp-1195904,AlZnB5H21C6(NO2)5,4.6496,0.0699,98,890.6131,0.110037,9.5851,65.38,1.008,10.6067,2.542,0.5474,7,
mp-1228824,AlZnGaS4,2.7802,0.0038,7,150.8175,0.046414,41.4749,69.723,26.9815,16.622,2.1986,0.4441,4,
mp-1229294,AlZnH10O7F5,0.99,0.0218,48,486.914,0.09858,12.8928,65.38,1.008,13.8742,2.885,0.8164,5,
mp-773079,AlZnH16N(OF)6,5.195,0.0032,124,1080.4917,0.114763,10.7252,65.38,1.008,13.1376,2.7748,0.79,6,
mp-23768,AlZnH4O2F5,5.0839,0.0029,26,250.9721,0.103597,17.1834,65.38,1.008,16.3725,2.9877,0.9406,5,
mp-1193110,AlZnH4O2F5,4.5271,0.1131,26,274.9894,0.094549,17.1834,65.38,1.008,16.3725,2.9877,0.9406,5,
mp-23155,Ar,8.5132,0.0,1,38.5658,0.02593,39.948,39.948,39.948,0.0,,,1,
mp-568145,Ar,8.5061,0.0034,2,91.1631,0.021939,39.948,39.948,39.948,0.0,,,1,
mp-28159,As(BrF2)3,1.6272,0.0,20,396.5362,0.050437,42.8624,79.904,18.9984,29.2591,3.494,0.6324,3,
mp-27445,As(IF2)3,1.356,0.0,20,468.8517,0.042657,56.9625,126.9045,18.9984,48.6269,3.404,0.7176,3,
mp-558244,As(IF3)2,0.5409,0.0,18,354.6023,0.050761,49.1912,126.9045,18.9984,44.982,3.4867,0.7098,3,
mp-651217,As(IF3)2,0.6425,0.3398,18,580.4138,0.031012,49.1912,126.9045,18.9984,44.982,3.4867,0.7098,3,
mp-1182482,As(NO2)2,0.101,0.4913,28,598.5167,0.046782,23.8474,74.9216,14.007,20.8691,3.1457,0.4312,3,
mp-30934,As(S8I)3,2.0753,0.0,28,835.5821,0.03351,43.7527,126.9045,32.06,29.878,2.5743,0.0798,3,
mp-684626,As12S13,0.4963,0.2745,50,1757.6603,0.028447,52.6336,74.9216,32.06,21.4136,2.388,0.1998,2,
mp-1247882,As12S13,0.4804,0.2339,50,1739.3442,0.028746,52.6336,74.9216,32.06,21.4136,2.388,0.1998,2,
mp-1229223,As14H6O31,2.2221,0.1128,51,665.5928,0.076623,30.4102,74.9216,1.008,27.7816,2.9482,0.6123,3,
mp-1247873,As16S17,1.9747,0.018,33,1197.6692,0.027554,52.8414,74.9216,32.06,21.421,2.3861,0.1999,2,
mp-28005,As2(SO4)3,4.5725,0.0,68,956.0928,0.071123,25.7654,74.9216,15.999,18.9366,3.14,0.4768,3,
mp-684856,As24S25,0.0891,0.237,49,1512.0721,0.032406,53.0534,74.9216,32.06,21.4263,2.3841,0.2,2,
mp-557417,As2Cl3OF5,3.3,0.0869,44,919.043,0.047876,33.3804,74.9216,15.999,20.8904,3.38,0.6626,4,
mp-1198214,As2H2CCl4,3.1618,0.0774,54,1359.8123,0.039711,33.9634,74.9216,1.008,25.8586,2.6611,0.459,4,
mp-556083,As2H3CF9,4.3411,0.1836,60,797.4103,0.075244,22.3909,74.9216,1.008,21.7592,3.2887,0.8509,4,
mp-1229009,As2H5CO6,1.6593,0.3495,28,370.0389,0.075668,18.7777,74.9216,1.008,23.8675,2.7536,0.6011,4,
mp-1194260,As2H6CO6,4.0879,0.2037,30,365.9112,0.081987,17.5931,74.9216,1.008,23.4804,2.7167,0.5969,4,
