material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-695941,Ag3H13SeN4O5,1.9349,0.2444,104,1147.1388,0.09066,21.2193,107.8682,1.008,34.815,2.55,0.543,5,
mp-1214986,Ag3Mo3AsO13,1.7696,0.0073,40,567.2875,0.070511,44.7182,107.8682,15.999,39.6689,2.9585,0.6598,4,
mp-562667,Ag3N5O6,2.1629,0.1651,28,386.1492,0.072511,34.9738,107.8682,14.007,38.078,2.9736,0.5729,3,0.311696
mp-27821,Ag3P11,0.8306,0.0,14,286.1974,0.048917,47.4511,107.8682,30.9738,31.5518,2.1343,0.1067,2,
mp-4198,Ag3PO4,0.1785,0.0025,16,217.531,0.073553,52.3218,107.8682,15.999,43.2859,2.7175,0.7269,3,
mp-1229128,Ag3PO4,0.421,0.0,16,217.9958,0.073396,52.3218,107.8682,15.999,43.2859,2.7175,0.7269,3,
mp-12459,Ag3PS4,0.9998,0.0,16,343.7951,0.046539,60.3523,107.8682,30.9738,36.8073,2.2875,0.3031,3,
mp-30908,Ag3PSe4,0.1744,0.0,16,396.8991,0.040313,83.8078,107.8682,30.9738,24.0357,2.2725,0.2887,3,
mp-36600,Ag3SBr,0.3977,0.0683,10,233.827,0.042767,87.1137,107.8682,32.06,29.5809,2.266,0.4287,3,
mp-1105645,Ag3SBr,0.2964,0.0983,20,484.8055,0.041254,87.1137,107.8682,32.06,29.5809,2.266,0.4287,3,
mp-1229116,Ag3SBr,0.3987,0.0637,5,118.0909,0.04234,87.1137,107.8682,32.06,29.5809,2.266,0.4287,3,
mp-22995,Ag3SI,0.539,0.0668,5,121.8556,0.041032,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-558189,Ag3SI,0.6243,0.1164,5,125.7203,0.039771,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-632480,Ag3SI,0.1676,0.0737,5,123.3438,0.040537,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-673825,Ag3SI,0.257,0.0848,10,244.0308,0.040978,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-674981,Ag3SI,0.2624,0.0772,5,123.7565,0.040402,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-675879,Ag3SI,0.2851,0.0755,10,247.3238,0.040433,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-676121,Ag3SI,0.3739,0.0739,10,271.0771,0.03689,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-676561,Ag3SI,0.333,0.0776,5,124.8694,0.040042,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-1173025,Ag3SI,0.3527,0.0867,10,247.2586,0.040443,96.5138,126.9045,32.06,33.0595,2.206,0.339,3,
mp-556747,Ag3SNO3,1.0703,0.3253,32,521.1434,0.061403,52.2086,107.8682,14.007,43.4349,2.7162,0.6661,4,
mp-1195261,Ag3Sb4F24,0.0344,0.0,62,1021.0689,0.060721,40.8583,121.76,18.9984,40.6082,3.5326,0.8289,3,
mp-4515,Ag3SbS3,0.9521,0.0088,14,318.6312,0.043938,77.3635,121.76,32.06,39.4966,2.2257,0.3093,3,
mp-555269,Ag3SbS3,1.5142,0.0,28,619.9008,0.045169,77.3635,121.76,32.06,39.4966,2.2257,0.3093,3,
mp-1104271,Ag3SbS3,1.8219,0.0293,14,367.1019,0.038137,77.3635,121.76,32.06,39.4966,2.2257,0.3093,3,
mp-1237841,Ag3Se3NO3,1.3087,0.4413,20,437.9359,0.045669,62.2522,107.8682,14.007,39.7828,2.68,0.6,4,
mp-6476,Ag3SeNO3,0.5603,0.3435,16,255.2615,0.062681,58.0725,107.8682,14.007,43.4855,2.7125,0.6669,4,
mp-17568,Ag3Sn2(GeP2)3,0.2155,0.0,28,599.975,0.046669,68.9112,118.71,30.9738,36.0454,2.0629,0.1132,4,
mp-29849,Ag3SnP7,0.4969,0.0,22,440.2562,0.049971,59.921,118.71,30.9738,38.3981,2.0982,0.1217,3,
